Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
85860	1.4690724	0.8271206	0.7271113	0.6311283	0.4922236	0.3177801	1.0084232	0.3856492	0.2188806	0.2014837	0.0779830	0.0701491	0.2026067	0.0322205	0.0176501	0.1375942	0.3362011	0.2636512	0.2260802	-155951.273
85870	1.4543174	0.8199898	0.6964222	0.6346972	0.5012549	0.3344314	1.0238266	0.3728252	0.2150809	0.1981193	0.0774014	0.0634682	0.2084055	0.0249465	0.0176501	0.1307403	0.1628522	0.2178939	0.1900933	-155949.104
85880	1.4503197	0.8292338	0.6483270	0.6635750	0.5093714	0.3207053	1.0534650	0.3946601	0.2145350	0.1957497	0.0746179	0.0699353	0.2096020	0.0249465	0.0170342	0.1205063	0.2071479	0.3548987	0.3975774	-155954.924
85890	1.4943712	0.8240262	0.6329354	0.6471356	0.5191955	0.3018992	1.0650450	0.3859114	0.2145350	0.1933814	0.0774912	0.0735470	0.2109983	0.0324186	0.0204884	0.1109509	0.2960197	0.1913191	0.2889793	-155952.765
85900	1.5082170	0.8060657	0.6402273	0.6589418	0.5338496	0.2945817	1.1105679	0.3876132	0.2228238	0.1983498	0.0802937	0.0742458	0.1955655	0.0257148	0.0161080	0.1272701	0.1982105	0.1166838	0.3606523	-155959.859
85910	1.5414509	0.8244107	0.6478935	0.7026241	0.5927373	0.2958326	1.1301220	0.3735786	0.2227640	0.1906725	0.0955119	0.0875185	0.2083283	0.0257148	0.0215455	0.1252943	0.1612946	0.2947251	0.2758167	-155970.262
85920	1.5238382	0.8168501	0.6818539	0.7177238	0.5580443	0.3139507	1.1699084	0.3904867	0.2128793	0.1954581	0.1011923	0.0875185	0.2107493	0.0257148	0.0211999	0.1324524	0.3045323	0.2090487	0.2628196	-155959.607
85930	1.5338865	0.8240075	0.6803797	0.7350029	0.5765479	0.3407927	1.1815657	0.3787673	0.2118691	0.1883099	0.0923492	0.0887614	0.2033739	0.0288751	0.0193486	0.1324524	0.2247133	0.2685815	0.2935120	-155953.193
85940	1.5312273	0.8230479	0.6821484	0.6991918	0.6052817	0.3465271	1.1641165	0.3586248	0.2033369	0.1834634	0.0978707	0.0899048	0.1928887	0.0296065	0.0151782	0.1324524	0.2628688	0.1179999	0.2809459	-155964.787
85950	1.5499861	0.8317666	0.6862698	0.7212288	0.5956912	0.3341633	1.1855615	0.3205996	0.1942928	0.1776348	0.0954142	0.0880660	0.1886307	0.0266092	0.0183178	0.1129137	0.2366039	0.2405567	0.2025971	-155958.425
85960	1.5324366	0.8681945	0.7010761	0.7307171	0.5963244	0.3362359	1.1699697	0.3084619	0.2004848	0.1814245	0.0902061	0.0811264	0.1902089	0.0268280	0.0183178	0.1201285	0.2366039	0.2921148	0.1748312	-155963.066
85970	1.5582293	0.9001004	0.7094275	0.7595387	0.6240461	0.3498239	1.2175181	0.3562137	0.2060817	0.1851759	0.0824752	0.0770720	0.2006651	0.0233141	0.0136187	0.1170653	0.2366039	0.3634131	0.2198922	-155958.766
85980	1.5472851	0.9116952	0.6922327	0.7595387	0.6449540	0.3599586	1.1437699	0.3501357	0.2051062	0.1802762	0.0852169	0.0809789	0.1980385	0.0245359	0.0162222	0.1170653	0.2366039	0.1503377	0.2785880	-155956.852
85990	1.5305371	0.8989992	0.7129567	0.7125084	0.6412485	0.3696432	1.1708679	0.3423999	0.2064880	0.1808480	0.0857677	0.0760972	0.1925342	0.0274436	0.0183216	0.1543389	0.2268885	0.1766356	0.3266610	-155960.339
86000	1.5283750	0.9042736	0.7251533	0.7213356	0.6140619	0.3754556	1.1139975	0.3534967	0.2049327	0.1904122	0.0823623	0.0775965	0.1957096	0.0233538	0.0169722	0.1270532	0.2268885	0.2517470	0.2580228	-155972.051
86010	1.5597128	0.8878968	0.7190182	0.7072149	0.6249966	0.3561749	1.0881948	0.3937809	0.2060460	0.1882928	0.0814489	0.0692793	0.1965412	0.0233538	0.0228127	0.1270532	0.2184353	0.3194226	0.1419753	-155963.268
86020	1.5441259	0.9053753	0.7240092	0.7039823	0.6065819	0.3531087	1.0979935	0.3734851	0.2089542	0.1948903	0.0933176	0.0760099	0.2014835	0.0273834	0.0208115	0.1270532	0.3903238	0.3429531	0.2142670	-155970.344
86030	1.5167300	0.9001521	0.7096682	0.7360592	0.6094167	0.3415158	1.1075724	0.3634018	0.2108720	0.1949711	0.0836582	0.0760099	0.2029924	0.0239173	0.0173790	0.1270532	0.2058527	0.1742465	0.3271765	-155953.996
86040	1.5167300	0.8869254	0.7176167	0.6989095	0.5768557	0.3247357	1.0534246	0.3491954	0.2176237	0.1754590	0.0836582	0.0783861	0.2029924	0.0256364	0.0173790	0.1270532	0.2058527	0.2821470	0.3580943	-155960.854
86050	1.5168077	0.8738005	0.6802276	0.7116500	0.5660925	0.3142775	1.0345545	0.3378401	0.2176237	0.1943536	0.0809337	0.0729904	0.2112421	0.0268744	0.0154367	0.1057121	0.1291345	0.2517633	0.3296079	-155970.310
86060	1.5429406	0.8557615	0.6875616	0.6832629	0.5735724	0.2961593	1.0316265	0.3704643	0.2189295	0.1925801	0.0824634	0.0715407	0.2112421	0.0268744	0.0154406	0.1211169	0.1466463	0.3200288	0.2273985	-155954.456
86070	1.5836833	0.8892069	0.7322300	0.6832629	0.5838437	0.2946014	0.9864908	0.3463884	0.2310042	0.1975229	0.0809856	0.0750585	0.2113008	0.0268744	0.0173533	0.1470116	0.1596209	0.1623295	0.2992955	-155960.606
86080	1.5853733	0.9184319	0.7609489	0.6832629	0.6037933	0.3094581	1.0174040	0.3255118	0.2219774	0.1954288	0.0792556	0.0730819	0.2117670	0.0279691	0.0189674	0.1269247	0.2623394	0.2112062	0.3768306	-155952.059
86090	1.6019848	0.9177703	0.7798758	0.6832629	0.6013877	0.3141094	0.9800684	0.3209724	0.2206692	0.1933198	0.0812372	0.0694534	0.2150852	0.0255973	0.0160252	0.1269247	0.3842692	0.3105018	0.2581365	-155961.499
86100	1.5518245	0.8931373	0.7210993	0.6832629	0.6144996	0.3414323	0.8983086	0.3441985	0.2203641	0.1975005	0.0852732	0.0766754	0.2156810	0.0350451	0.0166254	0.1088802	0.2768440	0.3447055	0.3082062	-155970.340
86110	1.5234237	0.8537684	0.7141824	0.6832629	0.6113702	0.3254091	0.9160086	0.3549088	0.2322089	0.1920660	0.0913970	0.0744190	0.2174352	0.0305347	0.0166254	0.1337392	0.2235142	0.2325062	0.3394453	-155960.130
86120	1.5080133	0.8791436	0.7183560	0.6832629	0.6257919	0.3329360	0.8754673	0.3497224	0.2309350	0.1973135	0.0871815	0.0774271	0.2136768	0.0291408	0.0166254	0.1178389	0.2101546	0.1621376	0.2477442	-155947.592
86130	1.5015422	0.9114387	0.7386365	0.7208138	0.6422418	0.3263894	0.8654536	0.3583755	0.2273553	0.2062684	0.0976891	0.0884157	0.2054378	0.0291408	0.0179069	0.1178389	0.3447944	0.2820886	0.2423512	-155959.411
86140	1.5286525	0.9241346	0.7687595	0.7486794	0.6422418	0.2964945	0.8406714	0.3577485	0.2358325	0.2078471	0.0989726	0.0918524	0.2310939	0.0320546	0.0147234	0.1224381	0.2137392	0.3992507	0.2774981	-155963.599
86150	1.5857913	0.9444377	0.8055287	0.7487505	0.6349942	0.2884444	0.8102304	0.3555529	0.2336576	0.1844387	0.1102981	0.0996677	0.2286580	0.0264206	0.0174010	0.1327309	0.3051042	0.2850826	0.4432230	-155961.109
86160	1.5701637	0.9219186	0.7916722	0.7179042	0.6035619	0.2755394	0.8192086	0.3519187	0.2363234	0.1881101	0.1063790	0.0933675	0.2346115	0.0264206	0.0169413	0.1249968	0.4646894	0.3026144	0.3924350	-155945.330
86170	1.5580932	0.9302912	0.7878656	0.7551684	0.6207040	0.2735345	0.8321008	0.3685873	0.2341679	0.1908280	0.0983573	0.0933675	0.2271652	0.0222130	0.0169413	0.1224542	0.2307531	0.1827156	0.5891348	-155957.644
86180	1.5356211	0.9140917	0.7754373	0.7551684	0.6288270	0.2688539	0.7955048	0.3670354	0.2242616	0.1964759	0.0893582	0.0821217	0.2214529	0.0298973	0.0189367	0.1272647	0.4287316	0.2669205	0.2668835	-155957.860
86190	1.5038123	0.8983313	0.7476668	0.7551684	0.6325734	0.2823780	0.7798022	0.3489762	0.2213211	0.1996249	0.0881489	0.0813330	0.2169503	0.0298973	0.0135202	0.1336307	0.3095124	0.2646620	0.2442138	-155967.447
86200	1.5252045	0.9078266	0.6983189	0.7579822	0.6517462	0.3021441	0.8236990	0.4011922	0.2232863	0.2054094	0.0917477	0.0750981	0.2108851	0.0298973	0.0185127	0.1173460	0.2915820	0.4058933	0.3152514	-155956.523
86210	1.5207646	0.8772849	0.6908566	0.7413844	0.6533874	0.3334434	0.8558518	0.3926914	0.2188224	0.2020991	0.0866388	0.0809263	0.2124715	0.0299473	0.0184039	0.1282704	0.3209019	0.2460664	0.2672037	-155962.733
86220	1.5179306	0.8798739	0.6839577	0.7413844	0.6554940	0.3231628	0.8655747	0.4002738	0.2207290	0.2020991	0.0859604	0.0792968	0.2106657	0.0300692	0.0195691	0.1286365	0.3031488	0.5982797	0.3098134	-155953.694
86230	1.4962036	0.8847146	0.6859628	0.7413844	0.6458162	0.2928171	0.8737557	0.3922344	0.2228102	0.2096847	0.0893318	0.0787119	0.2146690	0.0291786	0.0168617	0.1212415	0.1949540	0.3381657	0.3466131	-155959.100
86240	1.4812247	0.8769072	0.7137033	0.7652505	0.6417212	0.2937813	0.8550992	0.3975932	0.2297892	0.2014408	0.0932951	0.0734738	0.2125624	0.0273139	0.0151393	0.1171642	0.2386251	0.2785905	0.2393463	-155964.590
86250	1.4907365	0.9038840	0.6991463	0.7554023	0.6193593	0.2953209	0.8675011	0.3878485	0.2291985	0.2094986	0.0916768	0.0811262	0.2245067	0.0273139	0.0214453	0.1168016	0.2376034	0.2795070	0.2872534	-155965.929
86260	1.4716102	0.8918042	0.7065264	0.7538100	0.5919018	0.2475545	0.8816053	0.4064186	0.2256563	0.2094986	0.0868974	0.0707906	0.2199838	0.0273139	0.0151329	0.1168016	0.2376034	0.1435829	0.4482973	-155962.773
86270	1.4523580	0.9036257	0.7465440	0.7688536	0.5230440	0.3032912	0.8634293	0.3869980	0.2261633	0.2047541	0.0837633	0.0726280	0.2144671	0.0241464	0.0207800	0.0999323	0.2657511	0.1982621	0.3285490	-155962.154
86280	1.4364517	0.8955634	0.7376138	0.7698701	0.4778401	0.3008457	0.8555371	0.3790295	0.2247846	0.2061544	0.0805670	0.0730585	0.2193068	0.0451544	0.0170742	0.1307455	0.5104175	0.1982621	0.2531364	-155957.463
86290	1.4630375	0.8970088	0.7355374	0.7328364	0.5210169	0.3376640	0.8466553	0.3837633	0.2389769	0.2152334	0.0811722	0.0707064	0.2364734	0.0268399	0.0195892	0.1127456	0.3256835	0.1763019	0.3343254	-155958.449
86300	1.4928276	0.8983398	0.7606416	0.7489942	0.5331539	0.3494538	0.8749247	0.4010572	0.2411115	0.2136938	0.0768103	0.0602919	0.2376311	0.0241465	0.0188052	0.1127456	0.1326846	0.3065447	0.3343254	-155951.693
86310	1.4899864	0.9179700	0.7829475	0.7462810	0.5142849	0.3629711	0.9149198	0.3987397	0.2418273	0.2051790	0.0684838	0.0621295	0.2214164	0.0224553	0.0188052	0.1230343	0.2772904	0.3065447	0.4853249	-155963.561
86320	1.5535089	0.9089119	0.8049915	0.7462810	0.5121481	0.3261504	0.9423325	0.3850144	0.2219444	0.2074422	0.0684838	0.0598665	0.2165162	0.0296405	0.0165229	0.1630915	0.1550176	0.2483376	0.3807746	-155968.496
86330	1.5508833	0.8956490	0.7938616	0.6890825	0.5262494	0.3699283	0.9824859	0.3970341	0.2254932	0.2132415	0.0764168	0.0666339	0.2164891	0.0250523	0.0199929	0.1154250	0.2931447	0.2421444	0.2567602	-155954.980
86340	1.5857311	0.8919060	0.8158005	0.7062406	0.5101521	0.3614048	1.0359978	0.3865947	0.2280368	0.2088119	0.0752373	0.0698818	0.2237004	0.0278624	0.0164249	0.1319930	0.3327234	0.3171084	0.2567602	-155968.779
86350	1.5483394	0.8886556	0.8009402	0.6699947	0.5128846	0.3670022	1.0303354	0.4036853	0.2256591	0.1989502	0.0720879	0.0629389	0.2196802	0.0278624	0.0198115	0.1319930	0.2027693	0.2024515	0.2036583	-155956.738
86360	1.5483394	0.8961424	0.8051944	0.7379933	0.5118799	0.3670022	1.0607770	0.3945068	0.2329380	0.2072944	0.0841911	0.0631164	0.2177912	0.0230687	0.0151532	0.1150782	0.1633387	0.2365528	0.3724952	-155958.073
86370	1.5520005	0.9078652	0.8073776	0.8030460	0.5220742	0.3652915	1.0244720	0.3833034	0.2350214	0.2181887	0.0749142	0.0688707	0.2189566	0.0267647	0.0151532	0.1150782	0.1708950	0.1566253	0.4265111	-155962.680
86380	1.5547636	0.9324859	0.7940690	0.7856879	0.5317462	0.3587876	1.0032337	0.3749728	0.2415949	0.2179280	0.0818505	0.0717405	0.2248112	0.0203404	0.0160976	0.1408545	0.3005014	0.1785011	0.4097829	-155960.477
86390	1.5192448	0.9328129	0.8155959	0.7604308	0.5317462	0.3477253	1.0012683	0.3682999	0.2475314	0.2238632	0.0759369	0.0715210	0.2428147	0.0251582	0.0160976	0.1128282	0.2617437	0.3195792	0.4041880	-155970.791
86400	1.4986642	0.9124518	0.7870676	0.7409144	0.5081417	0.3086902	0.9584444	0.3534151	0.2456935	0.2146900	0.0878177	0.0807326	0.2334905	0.0358736	0.0160976	0.1666889	0.7078695	0.1708032	0.5486339	-155963.129
86410	1.5088181	0.8958321	0.7738244	0.6721149	0.5230868	0.2893736	0.9681329	0.3600521	0.2418941	0.2069709	0.0870120	0.0758717	0.2316767	0.0284538	0.0206387	0.1355868	0.4035896	0.2492191	0.3770535	-155960.505
86420	1.5212295	0.8858612	0.7740722	0.6449791	0.5252846	0.3259850	1.0107786	0.3561671	0.2360297	0.2013916	0.0832835	0.0761876	0.2216579	0.0223345	0.0188479	0.1192270	0.2448387	0.2562093	0.3305714	-155952.792
86430	1.5075835	0.8933948	0.7765751	0.6974684	0.5755703	0.3461247	0.9779295	0.3601706	0.2433001	0.2109052	0.0885036	0.0815176	0.2295399	0.0248184	0.0231166	0.1137011	0.2926919	0.4263186	0.3251608	-155969.186
86440	1.4908147	0.9297943	0.7978448	0.6974684	0.5803365	0.3411573	0.9619802	0.3650043	0.2406976	0.2169966	0.0935481	0.0843239	0.2370928	0.0290540	0.0193238	0.1106683	0.3625899	0.3271356	0.2167198	-155953.088
86450	1.5179534	0.9339672	0.8171140	0.7370643	0.6177485	0.3339452	0.9872012	0.3690646	0.2373581	0.2207099	0.0846822	0.0763494	0.2344492	0.0217598	0.0193238	0.1335249	0.2746457	0.3376744	0.2842450	-155965.999
86460	1.5146294	0.9278134	0.7889286	0.7404068	0.6409672	0.3720928	0.9769715	0.3506797	0.2410299	0.2095129	0.0906022	0.0796376	0.2339104	0.0317764	0.0155643	0.1119778	0.2746457	0.3086948	0.2737812	-155950.805
86470	1.4973469	0.9087595	0.8216580	0.7662611	0.6039420	0.3560632	0.9981236	0.3612230	0.2324023	0.2237880	0.0945638	0.0847666	0.2228892	0.0252051	0.0269752	0.1347207	0.2746457	0.4634451	0.3948436	-155961.124
86480	1.4967372	0.8857644	0.8160846	0.7482198	0.5754878	0.3932582	0.9996073	0.3545145	0.2325066	0.2094194	0.0986278	0.0829583	0.2249652	0.0270663	0.0146390	0.1428149	0.1865938	0.1844398	0.3071209	-155955.921
86490	1.4794389	0.8937641	0.8232910	0.7539239	0.6284082	0.3876462	0.9530006	0.3556719	0.2262415	0.2072507	0.0948126	0.0860053	0.2181496	0.0270663	0.0172311	0.1428149	0.3786016	0.3034618	0.4976077	-155958.343
86500	1.4999605	0.8951039	0.8206256	0.7176196	0.5954820	0.3594580	0.9138526	0.3608949	0.2371899	0.2246595	0.0948126	0.0888820	0.2291678	0.0229553	0.0172311	0.1423749	0.1441825	0.2989819	0.3776137	-155959.485
86510	1.5231682	0.8951039	0.8263744	0.7233609	0.5954820	0.3328736	0.8809967	0.3497612	0.2361809	0.2127698	0.0948126	0.0888820	0.2264854	0.0267758	0.0176383	0.1423749	0.2011834	0.2309124	0.3316655	-155957.544
86520	1.5308521	0.9246304	0.8177088	0.6973792	0.5719443	0.3344100	0.9014894	0.3482678	0.2350787	0.2088346	0.0948126	0.0888820	0.2280993	0.0284943	0.0166225	0.1513893	0.3501566	0.1536204	0.2983012	-155959.729
86530	1.5436568	0.9331033	0.8029704	0.7076791	0.5772452	0.3355754	0.9202059	0.3514467	0.2347182	0.2082579	0.0953321	0.0817134	0.2280993	0.0284943	0.0196752	0.1315543	0.3501566	0.2010657	0.2617883	-155964.035
86540	1.5198007	0.9346398	0.7811613	0.7050969	0.5796778	0.3203563	0.9324913	0.3603453	0.2305673	0.2179764	0.0925608	0.0864899	0.2270367	0.0284943	0.0219830	0.1315543	0.3029213	0.3587557	0.2437517	-155967.841
86550	1.5279055	0.9070351	0.7736629	0.6564961	0.5845277	0.3313563	0.9074498	0.3916259	0.2302198	0.2120486	0.0871269	0.0817946	0.2232926	0.0284943	0.0215403	0.1176159	0.3247522	0.6404002	0.4707958	-155956.235
86560	1.5381297	0.9347354	0.7827285	0.6388987	0.5837051	0.3350063	0.8788258	0.3996167	0.2415263	0.2123801	0.0920854	0.0817946	0.2321938	0.0271108	0.0149265	0.1492835	0.3015582	0.1978913	0.5186422	-155968.034
86570	1.5152298	0.9054500	0.7442046	0.6396319	0.5837051	0.3285239	0.8767389	0.3737223	0.2451291	0.2193131	0.0882535	0.0697412	0.2414352	0.0274029	0.0198821	0.1382464	0.1888166	0.3438999	0.2396767	-155952.529
86580	1.4845333	0.9065910	0.7255914	0.6844643	0.5947791	0.3227916	0.8812647	0.3549801	0.2396786	0.2193131	0.0871366	0.0792084	0.2252744	0.0274029	0.0141926	0.1286217	0.3646033	0.3068570	0.1944210	-155960.236
86590	1.4917866	0.8848127	0.7039330	0.6887922	0.6107542	0.3058232	0.8704259	0.3914111	0.2472550	0.2193131	0.0863221	0.0791359	0.2353539	0.0274029	0.0183164	0.1301263	0.2873958	0.3180767	0.3356574	-155955.041
86600	1.4894902	0.9034200	0.7013144	0.6975206	0.5784019	0.2884526	0.8717834	0.3915958	0.2389818	0.2139120	0.0825304	0.0753418	0.2353962	0.0308324	0.0183164	0.1473733	0.2873958	0.2716219	0.2350169	-155963.201
86610	1.4039828	0.8660094	0.6953655	0.6975206	0.5862895	0.2794849	0.9025320	0.3840782	0.2385116	0.2152054	0.0762426	0.0711503	0.2267695	0.0248034	0.0163522	0.1410486	0.2873958	0.2996326	0.2777842	-155958.653
86620	1.4077526	0.8547876	0.7017254	0.6756784	0.5809295	0.2716887	0.8264961	0.3546620	0.2385116	0.2133788	0.0723031	0.0621083	0.2301455	0.0285800	0.0168022	0.1071604	0.2821797	0.2219096	0.2711933	-155966.696
86630	1.4184064	0.8615822	0.7385263	0.6616595	0.5317150	0.2541129	0.8124203	0.3849269	0.2400433	0.2182005	0.0822752	0.0621665	0.2320883	0.0285800	0.0223577	0.1698875	0.2479440	0.4360754	0.4287808	-155963.281
86640	1.3919707	0.8623069	0.7367930	0.6943694	0.5371500	0.2886550	0.8200828	0.3984978	0.2421836	0.2146183	0.0809092	0.0693101	0.2191543	0.0285800	0.0167605	0.1550686	0.2044772	0.1669527	0.3090064	-155961.137
86650	1.4292026	0.8876825	0.7404322	0.7016643	0.5278921	0.2818269	0.8019391	0.3858518	0.2437219	0.2037877	0.0790693	0.0697125	0.2335989	0.0285800	0.0149728	0.1011585	0.4014461	0.2152899	0.3090064	-155959.620
86660	1.4228960	0.9013318	0.7536075	0.6620933	0.5123476	0.2751661	0.8182222	0.3858644	0.2467377	0.2056155	0.0783857	0.0731701	0.2396259	0.0285800	0.0182017	0.1412233	0.6872939	0.3868011	0.3962276	-155958.848
86670	1.4311562	0.8811709	0.7305573	0.6433995	0.5296770	0.2736237	0.8345104	0.3947179	0.2572877	0.2038426	0.0807934	0.0731701	0.2521386	0.0229545	0.0182017	0.1472272	0.1732110	0.3868011	0.6687337	-155956.764
86680	1.4403978	0.8942254	0.7476972	0.6433995	0.5138548	0.2826217	0.8179237	0.3998262	0.2706106	0.2263856	0.0764725	0.0714139	0.2521386	0.0247461	0.0161162	0.1562475	0.3542541	0.3625664	0.2827373	-155947.302
86690	1.4663156	0.9017967	0.7593017	0.6433995	0.5236968	0.3264172	0.8209063	0.4089819	0.2615420	0.2211518	0.0711241	0.0663848	0.2579909	0.0272588	0.0151415	0.1381733	0.3542541	0.1596389	0.3088274	-155954.483
86700	1.4179698	0.8928163	0.7440805	0.5899336	0.5169850	0.3108358	0.7973744	0.3990081	0.2652096	0.2201973	0.0764218	0.0675891	0.2579909	0.0325567	0.0178894	0.1464556	0.3800004	0.3758620	0.2237842	-155960.990
86710	1.4049876	0.8999266	0.7643849	0.6226492	0.5338235	0.3018885	0.7998735	0.3858353	0.2626818	0.2200556	0.0759038	0.0602854	0.2490709	0.0312883	0.0202523	0.1631833	0.2513920	0.5378694	0.4275575	-155960.970
86720	1.4312348	0.9165803	0.7358183	0.6337426	0.5409876	0.3027123	0.8354916	0.3642530	0.2511581	0.2276697	0.0833337	0.0710028	0.2455454	0.0252949	0.0172431	0.1227876	0.3450854	0.2234054	0.3390923	-155955.792
86730	1.4521336	0.9176706	0.7230519	0.7055292	0.5846491	0.2920237	0.8290219	0.3708789	0.2551898	0.2354905	0.0771015	0.0703932	0.2457866	0.0252949	0.0200592	0.1292435	0.2481865	0.3947024	0.2217739	-155954.999
86740	1.4425732	0.8920739	0.7251168	0.7055292	0.5779995	0.2780958	0.8794024	0.3720808	0.2619055	0.2204948	0.0848608	0.0653157	0.2540547	0.0252949	0.0200592	0.1171287	0.2536685	0.4142954	0.4764157	-155961.646
86750	1.4383985	0.8695808	0.7400269	0.6576043	0.5567574	0.2785520	0.8694737	0.3915016	0.2649615	0.2220979	0.0842902	0.0622211	0.2497372	0.0310781	0.0155596	0.1031563	0.2536685	0.2982087	0.3659754	-155952.101
86760	1.4390831	0.8820208	0.7530170	0.6157555	0.5276863	0.2921016	0.8577262	0.3986074	0.2623740	0.2244431	0.0702043	0.0611567	0.2545264	0.0202836	0.0161164	0.1307279	0.2536685	0.3153650	0.4598403	-155956.018
86770	1.4916532	0.9153893	0.7381327	0.6582888	0.5117803	0.2815561	0.8721810	0.4002687	0.2611886	0.2220839	0.0659307	0.0611567	0.2458028	0.0290054	0.0174115	0.1301953	0.3228061	0.2346212	0.6465097	-155956.340
86780	1.4736746	0.9141967	0.7173600	0.6484979	0.4998525	0.2898307	0.8739569	0.3926187	0.2556846	0.2296437	0.0693984	0.0651904	0.2497511	0.0273409	0.0223556	0.1644732	0.3250825	0.4553366	0.3882481	-155956.526
86790	1.4497112	0.9065886	0.7711563	0.6522135	0.4944866	0.2952336	0.9019839	0.3799831	0.2597896	0.2380795	0.0721443	0.0678247	0.2524989	0.0206934	0.0154040	0.1142533	0.3250825	0.4137619	0.2547644	-155950.392
86800	1.4458602	0.9037678	0.7825002	0.5890283	0.4714890	0.2788678	0.9137278	0.3765123	0.2660844	0.2396723	0.0839722	0.0768872	0.2624026	0.0309794	0.0193697	0.1451824	0.2572161	0.4339385	0.3313672	-155958.439
86810	1.4265444	0.8917685	0.7704008	0.5859412	0.4855283	0.2824550	0.9186145	0.3718907	0.2675339	0.2465686	0.0860404	0.0798398	0.2628214	0.0319892	0.0160099	0.1184213	0.5790575	0.1974718	0.3313672	-155952.797
86820	1.4431683	0.9175052	0.7938774	0.6221087	0.5034570	0.3229073	0.9138123	0.4032579	0.2670252	0.2454713	0.0818234	0.0758594	0.2603305	0.0249822	0.0167569	0.1377648	0.3387790	0.1882270	0.2847659	-155958.163
86830	1.4466750	0.9365836	0.8020983	0.5826185	0.5018501	0.3280718	0.9073428	0.3859844	0.2721920	0.2545292	0.0894477	0.0716484	0.2671536	0.0249822	0.0195789	0.1180436	0.2648800	0.2379961	0.3023940	-155961.125
86840	1.4620644	0.9080264	0.8129014	0.5826185	0.5072934	0.3338884	0.9139717	0.3844887	0.2717744	0.2565777	0.1021184	0.0946311	0.2665912	0.0313787	0.0218873	0.1211449	0.2644432	0.3812485	0.3866779	-155969.422
86850	1.4401263	0.8933985	0.8106279	0.5940278	0.4695358	0.3602336	0.9448771	0.4028239	0.2780368	0.2554421	0.1021184	0.0925224	0.2717985	0.0263424	0.0198884	0.1098100	0.3226445	0.2327856	0.4056535	-155948.734
86860	1.3979976	0.9028894	0.8099821	0.5638642	0.4712300	0.3682193	0.9019460	0.3908679	0.2780368	0.2606202	0.1019852	0.0837367	0.2717985	0.0263424	0.0187124	0.1613771	0.3082108	0.2533884	0.3289951	-155963.561
86870	1.4088345	0.9147472	0.8189741	0.5799541	0.4872696	0.3795611	0.9019460	0.3689563	0.2770287	0.2569260	0.1025182	0.0912332	0.2704728	0.0500194	0.0187124	0.1262544	0.4359205	0.4776862	0.4311035	-155956.596
86880	1.3670085	0.9354630	0.8455860	0.5920855	0.4905297	0.3708153	0.8724744	0.3862120	0.2770287	0.2595874	0.1069917	0.0860569	0.2675675	0.0248574	0.0201352	0.1292732	0.4332672	0.5451672	0.4270185	-155974.698
86890	1.4017329	0.9294611	0.8570799	0.5639748	0.4934831	0.3807014	0.9126635	0.3780171	0.2787720	0.2383990	0.0998570	0.0803396	0.2675675	0.0311975	0.0132492	0.1448242	0.4636320	0.2748689	0.4270185	-155967.898
86900	1.4184785	0.9164685	0.8500847	0.5890903	0.5090239	0.4033293	0.8978604	0.3784731	0.2781688	0.2401790	0.0835494	0.0785240	0.2675675	0.0297829	0.0176451	0.1504789	0.2807259	0.3394150	0.4435292	-155967.137
86910	1.4471219	0.8953591	0.8300456	0.6155941	0.5090239	0.3832600	0.9571282	0.3999477	0.2781688	0.2445203	0.0884159	0.0809929	0.2614953	0.0297109	0.0233815	0.1131683	0.2807259	0.3748790	0.2844873	-155958.530
86920	1.4475459	0.8969504	0.8126541	0.6707040	0.5046743	0.3732033	0.9419847	0.3951632	0.2726281	0.2548282	0.0873674	0.0822098	0.2668954	0.0287482	0.0178578	0.1074030	0.2807259	0.2085065	0.3316741	-155961.158
86930	1.4316687	0.8928846	0.8025023	0.6717311	0.5183221	0.3787261	0.9769334	0.3704800	0.2726281	0.2591861	0.0910335	0.0764794	0.2609504	0.0265727	0.0178578	0.1498688	0.1582182	0.3342533	0.3862756	-155949.578
86940	1.4192180	0.8921507	0.7948214	0.6538102	0.5095505	0.3845985	0.9471341	0.3817284	0.2726281	0.2591861	0.0823512	0.0758333	0.2609504	0.0265727	0.0177895	0.1260214	0.2045778	0.1999324	0.4406167	-155950.790
86950	1.4318243	0.9108215	0.8108086	0.6799311	0.4950684	0.3801442	0.9077085	0.3938068	0.2658228	0.2531814	0.0879812	0.0807850	0.2571847	0.0407581	0.0194834	0.1260214	0.4679979	0.2594383	0.3393126	-155963.313
86960	1.4469790	0.9619816	0.8171631	0.6684607	0.4763131	0.3570633	0.8978578	0.3832350	0.2627013	0.2450306	0.0912819	0.0835257	0.2564722	0.0311130	0.0242689	0.1512974	0.3811145	0.3191737	0.5176921	-155972.408
86970	1.4549993	0.9172940	0.8301726	0.6503904	0.4697205	0.3484302	0.9631452	0.3803647	0.2629731	0.2537272	0.0931012	0.0885523	0.2559154	0.0352796	0.0167662	0.1468994	0.2946587	0.2177799	0.5239108	-155955.888
