Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
370	1.2594845	0.8871664	0.7829369	0.4335544	0.3209084	0.2314076	0.6663171	0.3151032	0.1816542	0.1671990	0.0800786	0.0759275	0.1719566	0.0420653	0.0282880	0.1792845	0.4317626	0.4072844	0.4069377	-155957.722
380	1.2209351	0.8996960	0.7934220	0.4444745	0.3341335	0.2397760	0.6373392	0.2969769	0.1901249	0.1702557	0.0792722	0.0755738	0.1784695	0.0359624	0.0196846	0.1639611	0.4317626	0.3692168	0.5441296	-155971.135
390	1.1998331	0.8906098	0.7581394	0.4432479	0.3527419	0.2457167	0.6407282	0.2944034	0.1830997	0.1607694	0.0797303	0.0767721	0.1784695	0.0419626	0.0229389	0.2282000	0.5773332	0.3024792	0.7526678	-155963.043
400	1.2110833	0.9089630	0.8005666	0.4316463	0.3610370	0.2279054	0.6624622	0.2941452	0.1801483	0.1600408	0.0832168	0.0753034	0.1744956	0.0397263	0.0229389	0.1604917	0.6030085	0.2598868	0.4386464	-155962.654
410	1.2160834	0.8886104	0.8175708	0.4207062	0.3406027	0.2236214	0.6848144	0.2848515	0.1778045	0.1529903	0.0773598	0.0708890	0.1693297	0.0380449	0.0222112	0.1718318	0.3836950	0.3810861	0.3273523	-155965.237
420	1.2072704	0.9009635	0.8197683	0.4237679	0.3316246	0.2198013	0.7039073	0.2935999	0.1805563	0.1616792	0.0862596	0.0793809	0.1739985	0.0271753	0.0230124	0.1675238	0.2272440	0.2520215	0.5074595	-155962.827
430	1.2291646	0.9077902	0.8116905	0.4030361	0.3249565	0.2133382	0.7357926	0.2910960	0.1831277	0.1603134	0.0830216	0.0769837	0.1789585	0.0334556	0.0280440	0.1659748	0.2436307	0.3150577	0.3522902	-155973.740
440	1.2549130	0.8964560	0.8109822	0.4098002	0.3483922	0.2132187	0.7334766	0.2806918	0.1831277	0.1701524	0.0867629	0.0785992	0.1735380	0.0347671	0.0228589	0.1570121	0.4535291	0.1808867	0.3665963	-155959.069
450	1.2806768	0.9123901	0.8503829	0.4244160	0.3545345	0.2101983	0.7557910	0.2867757	0.1787639	0.1643366	0.0841334	0.0785992	0.1761106	0.0347671	0.0233677	0.1295849	0.3353894	0.4028354	1.1129217	-155960.569
460	1.2623179	0.9370599	0.8588975	0.4485264	0.3384681	0.2150986	0.7171807	0.2646869	0.1828737	0.1615418	0.0939206	0.0839828	0.1689267	0.0326567	0.0233677	0.1756730	0.3353894	0.3879138	0.3610051	-155955.908
470	1.2652075	0.9217070	0.8373229	0.4671325	0.3596742	0.2170259	0.7051289	0.2860657	0.1886212	0.1677371	0.0974772	0.0843437	0.1849208	0.0335576	0.0233677	0.1529430	0.3878828	0.2383214	0.3606520	-155962.148
480	1.2232354	0.9339761	0.8127749	0.5033359	0.3361128	0.2311753	0.7064640	0.2780004	0.1879300	0.1626736	0.1058131	0.0933250	0.1805322	0.0270760	0.0223793	0.1178846	0.3508333	0.5199895	0.5675695	-155963.082
490	1.1953433	0.9077556	0.7940003	0.4600804	0.3257214	0.2250950	0.6791799	0.2710825	0.1825380	0.1621634	0.1080421	0.1011783	0.1778232	0.0389358	0.0253520	0.1422523	0.3508333	0.4104572	0.4405474	-155975.586
500	1.1911578	0.8991031	0.8053774	0.4340267	0.3334086	0.2446638	0.6586122	0.2669737	0.1834972	0.1583902	0.1067403	0.1028008	0.1741748	0.0494906	0.0234780	0.1731696	0.8111216	0.2670161	0.4405474	-155960.233
510	1.1730636	0.8886072	0.7863721	0.4344778	0.3419130	0.2376168	0.6392020	0.2635632	0.1828677	0.1621273	0.1057638	0.0977119	0.1793267	0.0348334	0.0279074	0.1642101	0.3366753	0.3335717	0.4603669	-155964.739
520	1.1929915	0.8885484	0.7966770	0.4474441	0.3697032	0.2568241	0.6558520	0.2582477	0.1843867	0.1689495	0.1103368	0.1011131	0.1828789	0.0329069	0.0276006	0.1394173	0.3366753	0.6058268	0.3984582	-155953.406
530	1.1788868	0.9017764	0.8028339	0.4472332	0.3646606	0.2437628	0.6890747	0.2591837	0.1854632	0.1689495	0.1124969	0.1022515	0.1795785	0.0340690	0.0268916	0.1984638	0.4347901	0.5542894	0.4291854	-155957.836
540	1.1691295	0.9078490	0.7798036	0.4492317	0.3302032	0.2581517	0.6806446	0.2619476	0.1954501	0.1734142	0.1036884	0.0791145	0.1903495	0.0333315	0.0217198	0.1600124	0.4347901	0.8704198	0.4216899	-155966.961
550	1.1706876	0.9081947	0.7803354	0.4515797	0.3484664	0.2628655	0.6806446	0.2690926	0.1972904	0.1732213	0.0914061	0.0797759	0.1931536	0.0364691	0.0192307	0.1572248	0.4417082	0.5183507	0.3998972	-155959.871
