Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3
690	0.5567184	0.1423195	0.1178994	0.0713266	0.0253404	0.1089776	0.0054237	0.0117247	0.0092634	0.1580690	0.3791639	0.3190552
700	0.4572352	0.1206567	0.1080400	0.0812888	0.0227483	0.1089776	0.0056249	0.0139028	0.0103586	0.2227470	0.1019877	0.2590575
710	0.4028612	0.1286014	0.1092082	0.0690952	0.0618737	0.0719519	0.0058683	0.0102431	0.0098504	0.1754842	0.0726173	0.2590575
720	0.7953766	0.1524330	0.1138549	0.0724259	0.0655334	0.1425035	0.0056069	0.0102976	0.0106366	0.1662056	0.1346958	0.0887694
730	0.6422126	0.1501626	0.0905597	0.0768532	0.0196596	0.0328156	0.0065999	0.0090249	0.0126027	0.0899531	0.2441984	0.5556773
740	0.8774892	0.1265445	0.0911177	0.0673315	0.0262314	0.0741599	0.0059765	0.0084030	0.0146951	0.0253364	0.1050960	0.5556773
750	0.3037764	0.1543303	0.1375780	0.0724484	0.0009000	0.0769846	0.0058768	0.0112933	0.0134780	0.0139581	0.1434797	0.5556773
760	0.1630500	0.1363387	0.0923305	0.0724227	0.0316709	0.0350409	0.0060201	0.0098859	0.0133491	0.0035090	0.1018951	0.5556773
770	0.1549696	0.1548846	0.0881878	0.0731755	0.0571027	0.0657525	0.0060201	0.0129251	0.0144268	0.0018819	0.0735275	0.1435298
780	0.2573492	0.1590936	0.1104671	0.0608792	0.0571027	0.0058575	0.0063535	0.0147183	0.0145977	0.0092441	0.0810558	0.2756728
790	0.7372743	0.1455152	0.1108930	0.0631129	0.0150947	0.0515674	0.0063927	0.0136312	0.0124358	0.0061992	0.0661115	0.2756728
800	0.2897032	0.1440952	0.0919875	0.0777761	0.0221258	0.0694711	0.0064228	0.0189109	0.0157826	0.0041535	0.1428874	0.2932841
810	0.4899399	0.1432349	0.1051592	0.0666678	0.0143370	0.1125149	0.0064228	0.0186917	0.0128553	0.0063460	0.0883545	0.1290397
820	0.5544707	0.1308611	0.0847510	0.0666678	0.0344201	0.0145925	0.0054068	0.0212280	0.0109078	0.0745085	0.1110750	0.1290397
830	0.7543594	0.1393109	0.0896093	0.0606504	0.0327545	0.1300515	0.0057937	0.0240868	0.0109905	0.0528162	0.1974203	0.2354928
840	0.8679581	0.1307073	0.1090011	0.0737505	0.0074388	0.1300515	0.0072274	0.0169536	0.0112450	0.0968802	0.2132894	0.1939375
850	0.8679581	0.1363990	0.0797414	0.0743667	0.0715255	0.1169911	0.0088210	0.0229267	0.0135187	0.1826906	0.1471788	0.1844473
860	0.6639554	0.1593342	0.1253485	0.0683602	0.0137286	0.0695647	0.0103358	0.0185185	0.0141183	0.0856039	0.2416932	0.3943045
870	0.2278895	0.1321239	0.1261432	0.0605944	0.0088533	0.0341041	0.0102205	0.0259339	0.0147511	0.2434547	0.3976951	0.5220181
880	0.6320302	0.1265333	0.0951517	0.0751099	0.0173970	0.0858977	0.0087184	0.0224025	0.0130619	0.2434547	0.4655446	0.5646220
890	0.6320302	0.1410988	0.0946659	0.0759563	0.0095175	0.0107226	0.0070028	0.0390282	0.0143172	0.3017356	0.6450377	0.5646220
900	0.6790825	0.1406516	0.1196334	0.0733279	0.0700552	0.0904277	0.0064939	0.0377292	0.0157224	0.4956595	0.2019474	0.4085651
910	0.9133787	0.1251016	0.0995568	0.0775703	0.0139638	0.0904277	0.0074241	0.0352178	0.0120619	0.0997452	0.1405820	0.1530369
920	0.4533131	0.1442887	0.1019697	0.0698978	0.0166616	0.0904277	0.0061330	0.0340653	0.0126509	0.1096158	0.0809947	0.1281238
930	0.3051673	0.1336494	0.1131288	0.0792217	0.0516179	0.0987128	0.0073934	0.0323768	0.0137486	0.0615950	0.1354713	0.0526375
940	0.9102712	0.1483550	0.1137623	0.0769108	0.0528562	0.0045243	0.0053658	0.0285108	0.0142698	0.1084072	0.0427648	0.1797246
950	0.3149809	0.1372504	0.0910802	0.0612379	0.0528562	0.1145960	0.0053622	0.0288557	0.0138999	0.2078041	0.1179060	0.1797246
960	0.3861938	0.1463114	0.0870141	0.0605526	0.0528562	0.0180703	0.0058771	0.0464938	0.0140664	0.0308660	0.1362888	0.1571888
970	0.1293965	0.1214625	0.0662439	0.0660461	0.0220450	0.0144950	0.0051127	0.0375692	0.0151644	0.0691745	0.1467594	0.0644392
980	0.1755264	0.1610098	0.0940499	0.0627304	0.0389852	0.0351667	0.0041962	0.0574673	0.0162008	0.0168554	0.2265305	0.0487370
990	0.6886060	0.1287110	0.0944302	0.0795328	0.0273091	0.1191557	0.0047922	0.0452453	0.0167209	0.0150974	0.2112734	0.0657931
1000	0.6435313	0.1369318	0.0721021	0.0601201	0.0301212	0.0982713	0.0048687	0.0512612	0.0157539	0.0757000	0.2713837	0.0657931
1010	0.3572675	0.1168051	0.0753672	0.0738430	0.0071255	0.0982713	0.0062324	0.0557953	0.0144655	0.0970083	0.0735250	0.0443924
1020	0.8908628	0.1437945	0.0973205	0.0781308	0.0465919	0.0952783	0.0056859	0.0827706	0.0160728	0.0395501	0.1000157	0.1833830
1030	0.7924346	0.1506576	0.1047037	0.0799633	0.0081597	0.0952783	0.0071961	0.0616529	0.0169536	0.3214349	0.1774748	0.3547393
1040	0.6451618	0.1506576	0.0870106	0.0670685	0.0257175	0.0448653	0.0058103	0.0510343	0.0164619	0.1853068	0.0922098	0.1290328
1050	0.4221947	0.1231746	0.1066664	0.0685153	0.0608503	0.0941343	0.0062670	0.0615042	0.0197538	0.1243933	0.0626040	0.2061437
1060	0.7802372	0.1385112	0.1073731	0.0743926	0.0608503	0.0521923	0.0059780	0.0524588	0.0171558	0.1372969	0.0471763	0.1030073
1070	0.8773345	0.1447319	0.1397693	0.0603831	0.0457312	0.0487647	0.0066922	0.0555353	0.0170366	0.0884297	0.0649387	0.0202888
1080	0.8955242	0.1182506	0.0983468	0.0790918	0.0210474	0.0805236	0.0072008	0.0534700	0.0162022	0.2182290	0.0577664	0.0477251
1090	0.8955242	0.1598966	0.1365297	0.0695191	0.0675688	0.0921202	0.0059408	0.0386347	0.0168659	0.1300726	0.0491091	0.1664568
1100	0.7449933	0.1224346	0.0973871	0.0690138	0.0279712	0.0944886	0.0061490	0.0286816	0.0186023	0.0663520	0.0642410	0.1664568
1110	0.7449933	0.1503857	0.1388205	0.0596625	0.0516953	0.0825051	0.0046313	0.0262715	0.0203923	0.3614252	0.1416013	0.1887646
1120	0.8802685	0.1368551	0.1125427	0.0714580	0.0174118	0.0825051	0.0050904	0.0333604	0.0213907	0.3063687	0.1266632	0.2875686
1130	0.8802685	0.1235845	0.0755055	0.0646679	0.0260100	0.0442933	0.0048076	0.0318584	0.0178934	0.2739205	0.2038930	0.2875686
1140	0.8092081	0.1487374	0.0738591	0.0654184	0.0467372	0.0523402	0.0063984	0.0301357	0.0171683	0.5971597	0.4464957	0.1920400
1150	0.8092081	0.1531594	0.0963046	0.0624659	0.0283115	0.0455633	0.0055658	0.0353609	0.0193069	0.5971597	0.2368061	0.2785318
1160	0.1694003	0.1505663	0.1281869	0.0784263	0.0313948	0.0305970	0.0055494	0.0316932	0.0197612	0.6114485	0.1504119	0.1290083
1170	0.3744213	0.1447594	0.1413222	0.0664788	0.0620395	0.1391548	0.0036310	0.0423349	0.0185494	0.2168908	0.2245285	0.0894980
1180	0.3608599	0.1447594	0.1427859	0.0655952	0.0139385	0.1313959	0.0033777	0.0365702	0.0199742	0.1053438	0.1815944	0.0709167
1190	0.5326196	0.1345209	0.1040416	0.0767410	0.0619844	0.0582106	0.0043289	0.0266123	0.0164732	0.3164242	0.1145803	0.0389853
1200	0.6328014	0.1559742	0.1097742	0.0650199	0.0487308	0.0499689	0.0044072	0.0309040	0.0207525	0.1284470	0.0496513	0.0355214
1210	0.6328014	0.1570206	0.1273114	0.0614166	0.0040356	0.0499689	0.0046576	0.0228795	0.0218692	0.1832653	0.0862039	0.0541958
1220	0.1810268	0.1281686	0.1248429	0.0708653	0.0449189	0.0765549	0.0038535	0.0211744	0.0218662	0.1122831	0.0089416	0.0695649
1230	0.9694473	0.1258675	0.1094761	0.0785057	0.0077605	0.0765549	0.0034186	0.0220625	0.0241490	0.3090781	0.0115719	0.1498007
1240	0.2603165	0.1604139	0.1491601	0.0802670	0.0738887	0.1526201	0.0041767	0.0220625	0.0283479	0.3090781	0.0482109	0.2154994
1250	0.4763711	0.1253160	0.1079449	0.0690429	0.0506808	0.0124050	0.0035681	0.0230094	0.0285786	0.0685089	0.0961772	0.0998981
1260	0.9301329	0.1378021	0.1013930	0.0777083	0.0506808	0.1063287	0.0041554	0.0220151	0.0262256	0.0082242	0.2437075	0.1619943
1270	0.9677832	0.1411518	0.1045363	0.0614268	0.0506808	0.1266778	0.0041554	0.0236048	0.0273873	0.0045285	0.0775960	0.1609935
