Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
21000	0.3967717	0.2577612	0.1447062	0.1217294	0.1113374	0.0432149	0.0330166	0.0840702	0.0522815	0.1984209	0.1810733	0.0933569	0.1562520	-638238.950
21200	0.4147529	0.2389206	0.1239876	0.1104107	0.0950377	0.0446556	0.0354658	0.0770955	0.0485771	0.2402656	0.1437204	0.1123520	0.1584610	-638239.756
21400	0.3951828	0.2466413	0.1312129	0.1137649	0.1036874	0.0427471	0.0282012	0.0761663	0.0504454	0.2511298	0.1259590	0.1277896	0.1816571	-638240.016
21600	0.3948610	0.2391387	0.1276076	0.1172164	0.1053863	0.0450439	0.0335949	0.0733411	0.0567437	0.3060397	0.1486842	0.0908918	0.2000329	-638236.724
21800	0.3910828	0.2473697	0.1295904	0.1186796	0.1057487	0.0471484	0.0381309	0.0640422	0.0463727	0.2922575	0.2062868	0.1058994	0.2077852	-638238.106
22000	0.3786863	0.2872029	0.1312589	0.1177569	0.1042821	0.0461721	0.0300897	0.0747202	0.0424095	0.2327627	0.0987422	0.1722711	0.2404731	-638233.113
22200	0.3824354	0.2654805	0.1390646	0.1159296	0.1031444	0.0482977	0.0363565	0.0833326	0.0550846	0.2464526	0.2056619	0.3444114	0.2844132	-638248.994
22400	0.4038663	0.2486869	0.1346294	0.1177645	0.1071342	0.0578018	0.0466356	0.0744827	0.0438238	0.1786757	0.3431543	0.1501169	0.2102915	-638231.930
22600	0.3981696	0.2596528	0.1445852	0.1223860	0.1101994	0.0637937	0.0530832	0.0767248	0.0395489	0.2623907	0.2058967	0.1829489	0.1904572	-638235.969
22800	0.3949418	0.2458062	0.1476923	0.1319609	0.1203420	0.0471701	0.0339913	0.0715917	0.0606023	0.2670223	0.0789158	0.1015421	0.0972668	-638246.670
23000	0.3748746	0.2968796	0.1470987	0.1311673	0.1022288	0.0527224	0.0351236	0.0533815	0.0506351	0.2028332	0.3477490	0.1473468	0.2446747	-638236.080
23200	0.3532522	0.2696958	0.1467293	0.1342428	0.1215448	0.0476984	0.0349551	0.0829374	0.0668822	0.2588749	0.2408223	0.4403057	0.4107815	-638234.684
23400	0.3987421	0.2617845	0.1563834	0.1364739	0.1202011	0.0500192	0.0391443	0.0827251	0.0510727	0.2522530	0.1399210	0.1515985	0.1974993	-638233.722
23600	0.3727938	0.2535728	0.1472083	0.1326558	0.1107200	0.0529010	0.0355139	0.0742269	0.0547556	0.2784740	0.2993927	0.2090088	0.3292175	-638239.011
23800	0.3698860	0.2469860	0.1518752	0.1388471	0.1230943	0.0484515	0.0283567	0.0635533	0.0516267	0.2282497	0.3351167	0.2780110	0.1589531	-638242.099
24000	0.3985465	0.2646763	0.1517780	0.1380607	0.1200989	0.0535297	0.0300747	0.0851116	0.0457798	0.2243579	0.2039291	0.0656155	0.2804201	-638239.307
24200	0.3855530	0.2675727	0.1475657	0.1306978	0.1118120	0.0473581	0.0229532	0.0667327	0.0426320	0.2239346	0.3553144	0.1278402	0.2949349	-638237.322
24400	0.3995785	0.2733115	0.1475945	0.1314244	0.1157463	0.0428240	0.0219524	0.0758933	0.0546451	0.2438834	0.3178665	0.1096652	0.1982876	-638235.098
24600	0.4055950	0.2569564	0.1437961	0.1272670	0.1150769	0.0381059	0.0281077	0.0759272	0.0678398	0.2214185	0.2171167	0.1322138	0.2265138	-638233.127
24800	0.3896574	0.2448866	0.1349837	0.1251175	0.1119704	0.0460638	0.0339975	0.0978576	0.0665169	0.1904553	0.2984504	0.1122151	0.2795826	-638242.318
25000	0.3864779	0.2571781	0.1310256	0.1181371	0.1061903	0.0375277	0.0256193	0.0769936	0.0589194	0.2671864	0.1353161	0.1365397	0.1764211	-638235.936
25200	0.3908928	0.2396135	0.1356839	0.1180708	0.1044412	0.0366039	0.0259917	0.0859635	0.0630794	0.2821705	0.0981570	0.2085207	0.1060104	-638239.642
25400	0.3912093	0.2460342	0.1412022	0.1213330	0.1074940	0.0414167	0.0228502	0.0780743	0.0507588	0.2270438	0.1608030	0.0883847	0.3677952	-638241.990
