Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
150000	1.0969052	1.0316070	0.9416855	0.9009516	0.5927424	0.7784967	0.0174602	0.0100139	0.1058659	0.5568958	0.6370740	0.5548920	-2128004.531
151000	1.0677530	1.0076543	0.9439366	0.8947462	0.5550976	0.8247714	0.0170424	0.0116017	0.0972415	0.3677949	0.5309227	0.4170459	-2128011.022
152000	1.0989601	1.0336615	0.9582895	0.8574323	0.4815117	0.7101222	0.0134314	0.0070206	0.0903727	0.5503638	0.3780969	0.5481764	-2128005.435
153000	1.0690167	0.9619203	0.9019785	0.8395424	0.4157380	0.7164446	0.0149665	0.0079707	0.1121665	0.6793609	0.5084294	0.3435398	-2128002.363
154000	1.0204367	0.9684516	0.9338880	0.8331972	0.4381599	0.6659694	0.0144984	0.0162804	0.0965570	1.1964732	0.6399284	0.2086759	-2128001.760
155000	1.0598830	1.0207339	0.9044490	0.8408593	0.5223711	0.5910701	0.0192091	0.0125039	0.0994398	0.5063615	0.4090028	0.4344824	-2128005.647
156000	1.0734019	0.9721278	0.9515192	0.8993730	0.5263682	0.5929869	0.0180767	0.0083049	0.1033996	0.8411173	0.3194920	0.3155251	-2128005.947
157000	1.0024811	0.9645789	0.9430298	0.9060758	0.5678958	0.5101605	0.0151150	0.0186639	0.1021879	0.5379626	1.0441906	0.4022645	-2128007.550
158000	1.0974062	0.9805688	0.9365588	0.8816497	0.4898396	0.6105583	0.0339746	0.0090879	0.1142047	0.5609280	0.4002928	0.5781029	-2128010.168
159000	1.0671092	1.0197205	0.9222534	0.8751675	0.5256068	0.4846551	0.0243473	0.0096012	0.0823061	0.5277617	0.2730585	0.5695678	-2128018.918
160000	1.0992039	1.0312411	0.9802840	0.8968169	0.6576891	0.6326721	0.0136428	0.0085062	0.1916837	0.6135270	0.2717774	0.6444943	-2128007.885
161000	1.0742914	1.0325103	0.9576126	0.8999758	0.6616070	0.7940802	0.0164108	0.0150080	0.1001208	0.6510379	0.8434544	0.3515944	-2128006.139
162000	1.0908828	0.9737759	0.9342691	0.9092159	0.6659398	0.6859385	0.0154489	0.0124943	0.0885209	0.4226835	0.5211034	0.2367438	-2128013.087
163000	1.0898519	0.9578479	0.9308203	0.9073348	0.6173003	0.7141255	0.0254012	0.0148748	0.0982539	0.3907699	0.4734127	0.5250608	-2128003.986
164000	1.0804268	0.9673108	0.9338121	0.9001742	0.6916775	0.7261665	0.0218949	0.0077311	0.0891101	0.4997891	0.2984404	0.3334999	-2128000.924
165000	1.0473005	0.9703984	0.9311175	0.9059181	0.6404495	0.7366931	0.0196844	0.0136125	0.1198089	0.2909764	0.7072570	0.3561592	-2128013.151
166000	1.0959966	0.9718307	0.9303798	0.8951928	0.7551058	0.8467660	0.0234234	0.0122825	0.1162931	0.6953607	0.3512530	0.2828940	-2128008.990
167000	1.0452174	0.9879103	0.9329289	0.8864802	0.7721162	0.7961258	0.0173186	0.0290390	0.0767547	0.3318576	1.3307438	0.5500888	-2128004.930
