Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
669000	0.4116462	0.2686539	0.1531624	0.1340503	0.1153948	0.0526679	0.0326798	0.0694681	0.0506413	0.1842776	0.1835143	0.1764647	0.1511912	-638240.313
670000	0.3829659	0.2620679	0.1438950	0.1334425	0.1210361	0.0384015	0.0215700	0.1068600	0.0539990	0.2034856	0.2621561	0.2019629	0.1999453	-638234.275
671000	0.4034809	0.2554022	0.1499493	0.1360782	0.1200959	0.0527072	0.0400400	0.0646926	0.0593930	0.2385433	0.0802626	0.1271235	0.3810912	-638242.832
672000	0.3761064	0.2551940	0.1503570	0.1403014	0.1190454	0.0413806	0.0275927	0.0854830	0.0583877	0.2496390	0.1860622	0.2113568	0.1423694	-638235.226
673000	0.4184516	0.2637088	0.1405500	0.1295927	0.1173115	0.0495305	0.0274202	0.0662711	0.0567979	0.2339633	0.1189858	0.0808169	0.2208887	-638238.409
674000	0.4054592	0.2546346	0.1360848	0.1259198	0.1097901	0.0419572	0.0257558	0.0766494	0.0486904	0.2433674	0.1121526	0.1193766	0.2254071	-638237.687
675000	0.3739380	0.2596616	0.1387585	0.1276864	0.1128409	0.0450297	0.0275588	0.0729743	0.0512106	0.2182642	0.1459498	0.1190214	0.1942076	-638240.349
676000	0.4024910	0.2437622	0.1388546	0.1246419	0.1138226	0.0455504	0.0302177	0.0731317	0.0592562	0.2572280	0.1777523	0.0645689	0.2159523	-638245.606
677000	0.4005544	0.2554718	0.1317591	0.1199900	0.1146793	0.0426129	0.0333772	0.0769988	0.0661507	0.3603253	0.1778338	0.1240731	0.2677509	-638236.671
678000	0.4116001	0.2523826	0.1620585	0.1401818	0.1333634	0.0597149	0.0390765	0.0748621	0.0633738	0.2230579	0.2134370	0.3654365	0.2750413	-638234.792
679000	0.3825560	0.2695749	0.1601400	0.1444814	0.1136946	0.0405109	0.0299572	0.0686894	0.0492019	0.1977743	0.2337477	0.1306919	0.1688981	-638238.140
